,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,namibe,85,AO,1578408217,84,-15.19,12.15,73.47,9.24
1,port lincoln,0,AU,1578408217,66,-34.72,135.86,66.76,10.56
2,ribeira grande,40,PT,1578408217,88,38.52,-28.7,66.2,13.87
3,lincoln,75,GB,1578408072,87,53.23,-0.54,52.0,20.8
4,deputatskiy,100,RU,1578408218,92,69.3,139.9,-6.23,2.93
5,umarkot,32,PK,1578408218,76,25.37,69.74,57.0,10.67
6,butaritari,100,KI,1578408162,80,3.07,172.79,84.09,14.76
7,vila franca do campo,75,PT,1578408218,88,37.72,-25.43,66.2,11.41
8,sidney,20,US,1578407933,78,47.72,-104.16,15.8,8.05
9,lasa,75,CY,1578408218,71,34.92,32.53,57.2,8.05
10,chokurdakh,0,RU,1578408218,96,70.62,147.9,-22.72,4.45
11,carnarvon,99,ZA,1578408218,39,-30.97,22.13,77.94,20.13
12,southbridge,40,US,1578408218,68,42.08,-72.03,36.0,7.74
13,bethel,1,US,1578407924,68,60.79,-161.76,-18.4,12.75
14,gusinoye ozero,0,RU,1578408218,93,51.11,106.26,-6.18,1.95
15,atuona,63,PF,1578408218,70,-9.8,-139.03,81.12,15.99
16,qaanaaq,9,GL,1578408218,75,77.48,-69.36,-21.35,4.29
17,norman wells,5,CA,1578408218,64,65.28,-126.83,-45.4,2.24
18,vaini,20,IN,1578408029,69,15.34,74.49,75.2,3.31
19,luderitz,0,NA,1578408219,57,-26.65,15.16,75.2,23.04
20,east london,20,ZA,1578408165,83,-33.02,27.91,73.4,17.22
21,cape town,3,ZA,1578407983,42,-33.93,18.42,84.2,11.41
22,mataura,40,NZ,1578408219,78,-46.19,168.86,48.0,3.0
23,souillac,90,FR,1578408219,93,45.6,-0.6,53.6,4.7
24,yarada,75,IN,1578408219,78,17.65,83.27,73.4,5.82
25,san joaquin,100,PH,1578408219,80,10.59,122.14,75.9,6.8
26,barrow,0,AR,1578408219,21,-38.31,-60.23,81.77,14.27
27,yeppoon,49,AU,1578408219,78,-23.13,150.74,73.4,4.7
28,brewster,1,US,1578408219,51,41.76,-70.08,39.99,6.93
29,plouzane,90,FR,1578408219,100,48.38,-4.62,55.4,21.92
30,nikolskoye,90,RU,1578408219,86,59.7,30.79,37.4,8.95
31,cherskiy,0,RU,1578408219,78,68.75,161.3,-19.43,7.11
32,georgetown,75,GY,1578408060,88,6.8,-58.16,80.6,6.93
33,dunedin,95,NZ,1578408032,82,-45.87,170.5,49.44,16.71
34,dikson,98,RU,1578408219,97,73.51,80.55,3.43,6.67
35,puerto ayora,20,EC,1578408220,74,-0.74,-90.35,80.6,11.41
36,new norfolk,90,AU,1578407974,82,-42.78,147.06,59.0,8.05
37,lompoc,1,US,1578408220,55,34.64,-120.46,46.0,5.82
38,punta arenas,100,CL,1578407964,62,-53.16,-70.91,57.2,19.46
39,honiara,40,SB,1578408220,94,-9.43,159.96,75.2,3.87
40,hobart,90,AU,1578408003,82,-42.88,147.33,59.0,8.05
41,vestmannaeyjar,90,IS,1578408220,80,63.44,-20.27,35.6,49.44
42,upernavik,100,GL,1578408220,85,72.79,-56.15,-13.72,5.46
43,seoul,90,KR,1578408220,100,37.57,126.98,46.4,3.36
44,nome,1,US,1578408220,76,30.04,-94.42,51.8,4.7
45,bambanglipuro,100,ID,1578408220,92,-7.95,110.28,74.91,2.77
